scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
Abroscopus albogularis,XC81229,2010-06-26,China,"Hunan province, Bai Yun Zhen",29.494,113.383,150,120.6,4651.2,4651.2
Abroscopus albogularis,XC304200,2013-04-05,China,"Ruoliao, Songyang, Lishui Shi, Zhejiang Sheng",28.3046,119.3033,600,46,4823.4,4823.4
Abroscopus albogularis,XC267896,2014-07-13,China,"hills west of Dujiangyan, Sichuan",30.978,103.5782,800,61.2,4478.9,4478.9
Abroscopus schisticeps,XC49756,2010-03-27,India,Mishmi Hills,28.236582,96.006775,N/A,25,7235.2,7235.2
Abroscopus superciliaris,XC21577,2005-04-30,Indonesia,"Sungai Wain Protection Forest, East Kalimantan, Borneo",-1.1167,116.8167,50,82.8,5168,5168
Abroscopus superciliaris,XC78906,2011-04-11,India,Tea estate near Kaziranga National Park,26.589,93.422,100,42.9,5168,5168
Abroscopus superciliaris,XC100450,2012-03-19,Cambodia,Seima Biodiversity Conservation Area - ONP Trail,12.1239,106.912,130,74.6,4651.2,4651.2
Abroscopus superciliaris,XC126971,2013-01-03,Vietnam,"Cat Tien National Park, Cochinchina",11.3473,107.1501,70,63.2,5168,5168
Abroscopus superciliaris,XC303135,2016-02-09,Thailand,"Khlong Suan, Khlong Saeng Wildlife Sanctuary, Suratthani Province",9.1385,98.6199,110,125.8,4134.4,4134.4
Acanthagenys rufogularis,XC30864,1993-09-03,Australia,"Amphitheatre, Finke Gorge NP, NT",-24.067,132.667,610,25,2756.2,2756.2
Acanthagenys rufogularis,XC40550,2009-10-18,Australia,Nallan Station,-27.455731,117.887421,450,53,2411.7,2411.7
Acanthagenys rufogularis,XC200385,2014-10-11,Australia,"Wyperfeld National Park (near Yaapeet), Victoria",-35.5876,142.0367,80,27,1722.7,1722.7
Acanthagenys rufogularis,XC328684,2016-01-07,Australia,"Eulo Bore, Queensland",-28.1136,145.206,190,80,1894.9,1894.9
Acanthagenys rufogularis,XC366558,2017-04-16,Australia,"Nangar National Park, New South Wales",-33.419,148.5066,460,184,1722.7,1722.7
Acanthidops bairdii,XC271031,2015-03-02,Panama,Sendero los Quetzales (Cerro Punta side),8.848868,-82.541793,N/A,106,6029.3,6029.3
Acanthiza apicalis,XC405495,1997-09-20,Australia,"Collie Burn, Shire of Collie, Western Australia",-33.3945,116.2037,200,22,3445.3,3445.3
Acanthiza apicalis,XC287041,2015-10-15,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,27,3445.3,3445.3
Acanthiza apicalis,XC334250,2016-09-06,Australia,"Gluepot, South Australia",-33.7548,140.2104,60,24,2239.5,2239.5
Acanthiza apicalis,XC355029,2016-09-15,Australia,"Euabalong, Cobar Shire Council, New South Wales",-32.9667,146.1587,180,36,2239.5,2239.5
Acanthiza ewingii,XC98491,2012-01-05,Australia,"Derwent Bridge, Walls of Jerusalem NP Tas",-42.1348,146.2298,N/A,155,3445.3,3445.3
Acanthiza ewingii,XC204413,2014-11-21,Australia,"Meander, Tasmania",-41.7043,146.5794,460,43,2756.2,2756.2
Acanthiza ewingii,XC370628,2017-04-10,Australia,"Latrobe, Latrobe Council, Tasmania",-41.2619,146.4173,20,12,4478.9,4478.9
Acanthiza chrysorrhoa,XC278416,2015-09-09,Australia,"Richmond, New South Wales",-33.585,150.7869,10,15,3962.1,3962.1
Acanthiza chrysorrhoa,XC40772,2015-10-30,Australia,"Monarto South, South Australia",-35.1707,139.1133,110,100,5684.8,5684.8
Acanthiza chrysorrhoa,XC354591,2016-09-05,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,36,4306.6,4306.6
Acanthiza chrysorrhoa,XC370629,2017-04-06,Australia,"Quoiba, Devonport City Council, Tasmania",-41.2052,146.3409,30,23,5684.8,5684.8
